% asym positive
1	2 1 1080372569
1	2 1 1080372594
2	2 1 1080473194
1	2 1 1080984039
3	2 1 1426650957
4	2 1 1429392390
3	2 1 1429437673
5	5 1 1080904375
1	6 1 1080983351
1	7 1 1080983608
1	8 1 1080983982
3	8 1 1426650895
4	8 1 1429392371
3	8 1 1429437662
9	1 1 1081110248
9	1 1 1086517300
1	1 1 1091913222
10	1 1 1112133270
1	1 1 1112207462
10	1 1 1112212280
1	1 1 1112282757
11	1 1 1112366378
12	1 1 1294582639
1	1 1 1295043233
13	1 1 1407990795
1	9 1 1081135344
14	9 1 1088283953
14	9 1 1088283994
9	9 1 1088284152
14	9 1 1088285154
9	9 1 1088285584
14	9 1 1088287726
14	9 1 1089498839
9	9 1 1089541189
14	9 1 1090000227
11	9 1 1090322106
11	9 1 1090322185
15	9 1 1091394787
16	9 1 1099098972
10	9 1 1108977237
10	9 1 1110005051
17	9 1 1140902310
18	9 1 1141088186
17	9 1 1141123321
9	9 1 1222539326
9	9 1 1222539362
18	9 1 1222543688
18	9 1 1222543759
9	9 1 1222546425
18	9 1 1222550470
19	9 1 1222584155
14	20 1 1085181836
20	20 1 1085423818
14	21 1 1085223223
14	21 1 1085223229
3	21 1 1426650904
4	21 1 1429392375
3	21 1 1429437662
14	22 1 1085223362
3	22 1 1426650891
4	22 1 1429392379
3	22 1 1429437667
14	23 1 1085223697
24	14 1 1086077954
14	14 1 1086099877
9	14 1 1088284336
9	14 1 1088285825
14	14 1 1088292695
25	14 1 1089803258
9	14 1 1090004159
14	14 1 1090005389
1	14 1 1095539294
1	14 1 1095539349
26	14 1 1096047837
14	14 1 1096116143
14	14 1 1096116162
27	14 1 1096260786
28	14 1 1100305012
17	14 1 1100780758
14	14 1 1100886083
17	14 1 1100903076
14	14 1 1100909750
17	14 1 1101165750
17	14 1 1101643110
17	14 1 1101643290
17	14 1 1101643816
14	14 1 1101644896
17	14 1 1101849101
17	14 1 1101853962
14	14 1 1101859878
29	14 1 1102679797
17	14 1 1103727178
14	14 1 1103743781
14	14 1 1105765314
14	14 1 1105765418
17	14 1 1105827873
10	14 1 1106988016
10	14 1 1107255378
10	14 1 1107683480
18	14 1 1108475492
14	14 1 1109200148
17	14 1 1111437279
18	14 1 1150716403
30	14 1 1194730184
14	14 1 1195259602
30	14 1 1195260207
30	14 1 1195289486
17	14 1 1195302666
12	14 1 1294582674
18	14 1 1366987291
14	14 1 1368301682
3	14 1 1426650935
14	31 1 1090713599
15	15 1 1091150679
4	15 1 1429392384
9	11 1 1091377610
27	27 1 1096015728
27	27 1 1096061854
27	27 1 1096061901
27	27 1 1096062021
14	27 1 1096117181
32	32 1 1097919923
33	33 1 1102811375
10	10 1 1105126380
17	10 1 1105828094
10	10 1 1105828192
